0.0113122 -9.2647059 0.0121242 -9.8326867 0.0116009 -9.4895592 0.0115741 -9.4444444
0.0116063 -9.4127205 0.0120192 -9.6514423 0.0116009 -9.4895592 0.0115741 -9.4444444
0.0114732 -9.3620927 0.0116171 -9.5376394 0.0116009 -9.4779582 0.0118596 -9.5351044
0.0121418 -9.9198640 0.0120077 -9.7022094 0.0116009 -9.4779582 0.0118765 -9.5605701
0.0115207 -9.4009217 0.0120135 -9.7188852 0.0116009 -9.4779582 0.0115741 -9.4444444
0.0114416 -9.3478261 0.0120077 -9.6661864 0.0116009 -9.4779582 0.0115741 -9.4444444
0.0114890 -9.3864890 0.0116333 -9.5160540 0.0116009 -9.4735622 0.0118596 -9.5351044
0.0122249 -10.0488998 0.0115101 -9.3692449 0.0115955 -9.4735622 0.0118708 -9.5560304
0.0119218 -9.6208870 0.0119389 -9.6227316 0.0115955 -9.4735622 0.0118765 -9.5486936
0.0122130 -9.9535906 0.0118540 -9.6491228 0.0116171 -9.4911710 0.0118652 -9.5514950
0.0120540 -9.8842816 0.0116659 -9.4960336 0.0116063 -9.4823584 0.0118821 -9.5651141
0.0120077 -9.8703170 0.0116550 -9.5571096 0.0116009 -9.4779582 0.0118652 -9.5514950
0.0121418 -9.9684313 0.0118092 -9.6126594 0.0116009 -9.4779582 0.0118765 -9.5605701
0.0121655 -9.9878345 0.0117261 -9.5333021 0.0116009 -9.4779582 0.0118708 -9.5560304
0.0121065 -9.8910412 0.0117869 -9.5945309 0.0115741 -9.4444444 0.0118708 -9.5560304
0.0115794 -9.4488189 0.0117980 -9.5681925 0.0115794 -9.4488189 0.0118652 -9.5514950
0.0121300 -9.9830180 0.0117261 -9.5333021 0.0116225 -9.4955834 0.0118765 -9.5605701
0.0121595 -9.9708171 0.0117592 -9.5602070 0.0116117 -9.4867627 0.0118821 -9.5651141
0.0119732 -9.7222222 0.0115420 -9.3605725 0.0115848 -9.4531974 0.0118708 -9.5560304
0.0115634 -9.4125809 0.0115848 -9.4416126 0.0115848 -9.4531974 0.0118991 -9.5787720

