 0    0  -15  15  
 0    1  -17  13  
 0    2  -15  15  
 0    3  -15  15  
 0    4  -15  15  
 0    5  -14  16  
 0    6  -17  13  
 0    7  -17  13  
 0    8  -15  15  
 0    9  -17  13  
 0   10  -18  12  
 0   11  -12  18  
 0   12  -10  20  
 0   13  -15  15  
 0   14  -15  15  
 0   15  -13  17  
 0   16  -17  13  
 0   17  -15  15  
 0   18  -15  15  
 0   19  -15  15  
 0    0  -15  15  
 1    1  -13  17  
 1    2   -5  25  
 1    3   -8  22  
 1    4   -9  21  
 1    5   -6  24  
 1    6   -7  23  
 1    7   -5  25  
 1    8   -4  26  
 1    9  -11  19  
 1   10   -8  22  
 1   11  -10  20  
 1   12   -7  23  
 1   13  -15  15  
 1   14   -5  25  
 1   15  -12  18  
 1   16  -10  20  
 1   17   -6  24  
 1   18  -15  15
 1   19  -14  16  
 2    0  -15  15  
 2    1  -20  10  
 2    2  -15  15  
 2    3  -15  15  
 2    4  -15  15  
 2    5  -20  10  
 2    6  -15  15  
 2    7  -15  15  
 2    8  -15  15  
 2    9  -15  15  
 2   10  -15  15  
 2   11  -15  15  
 2   12  -15  15  
 2   13  -15  15  
 2   14  -10  20  
 2   15  -13  17  
 2   16  -15  15  
 2   17  -15  15  
 2   18  -15  15  
 2   19  -15  15  
 3    0  -15  15  
 3    1  -15  15  
 3    2   -8  22  
 3    3   -8  22  
 3    4  -11  19  
 3    5   -9  21  
 3    6  -10  20  
 3    7   -8  22  
 3    8   -6  24  
 3    9   -9  21  
 3   10   -5  25  
 3   11  -10  20  
 3   12  -10  20  
 3   13  -10  20  
 3   14   -8  22  
 3   15   -9  21  
 3   16  -10  20  
 3   17  -10  20  
 3   18  -15  15  
 3   19  -15  15  
 4    0  -15  15  
 4    1  -20  10  
 4    2  -12  18  
 4    3  -15  15  
 4    4  -17  13  
 4    5  -15  15  
 4    6  -15  15  
 4    7  -15  15  
 4    8  -15  15  
 4    9  -15  15  
 4   10  -15  15  
 4   11  -15  15  
 4   12  -15  15  
 4   13  -15  15  
 4   14  -15  15  
 4   15  -15  15  
 4   16  -18  12  
 4   17  -15  15  
 4   18  -15  15  
 4   19  -10  20  
 5    0  -10  20  
 5    1  -13  27  
 5    2   -6  24  
 5    3  -10  20  
 5    4   -7  23  
 5    5  -10  20  
 5    6   -9  21  
 5    7   -5  25  
 5    8   -7  23  
 5    9  -10  20  
 5   10  -10  20  
 5   11  -10  20  
 5   12   -5  25  
 5   13   -5  25  
 5   14   -5  25  
 5   15   -5  25  
 5   16   -5  25  
 5   17   -6  24  
 5   18  -15  15  
 5   19  -12  28  
 6    0  -15  15  
 6    1  -15  15  
 6    2  -15  15  
 6    3  -15  15  
 6    4  -15  15  
 6    5  -15  15  
 6    6  -15  15  
 6    7  -15  15  
 6    8  -15  15  
 6    9  -17  13  
 6   10  -15  15  
 6   11  -15  15  
 6   12  -11  19  
 6   13  -15  15  
 6   14  -20  10  
 6   15  -15  15  
 6   16  -15  15  
 6   17  -15  15  
 6   18  -15  15  
 6   19  -15  15  
 7    0  -15  15  
 7    1  -15  15  
 7    2   -6  24  
 7    3   -6  24  
 7    4  -10  20  
 7    5   -5  25  
 7    6  -10  20
 7    7   -7  23  
 7    8  -15  15  
 7    9   -8  22  
 7   10  -10  20  
 7   11   -7  23  
 7   12  -10  20  
 7   13   -5  25  
 7   14   -5  25  
 7   15  -10  20  
 7   16   -5  25  
 7   17  -11  19  
 7   18  -17  13  
 7   19  -15  15  
 8    0  -10  20  
 8    1  -17  13  
 8    2  -15  15  
 8    3  -16  14  
 8    4  -17  13  
 8    5  -16  14
 8    6  -15  15  
 8    7  -15  15  
 8    8  -17  13  
 8    9  -15  15  
 8   10  -15  15  
 8   11  -14  16  
 8   12  -15  15  
 8   13  -18  12  
 8   14  -14  16  
 8   15  -12  18  
 8   16  -15  15  
 8   17  -15  15  
 8   18  -15  15  
 8   19  -15  15  
 9    0  -15  15  
 9    1  -15  15  
 9    2  -15  15  
 9    3  -10  20  
 9    4  -15  15  
 9    5   -2  28  
 9    6  -15  15  
 9    7   -7  23  
 9    8   -5  25  
 9    9  -10  20  
 9   10  -10  25  
 9   11   -7  23  
 9   12  -10  20  
 9   13   -7  23  
 9   14  -10  20  
 9   15   -5  25  
 9   16  -10  20  
 9   17   -7  23  
 9   18  -15  15  
 9   19  -15  15  


