N4_2_2 SAM6_GTB0_TAC8_CH10
N4_3_1 SAM6_GTB0_TAC8_CH3
N4_3_2 SAM6_GTB0_TAC8_CH11
N4_4_1 SAM6_GTB0_TAC8_CH4
N4_4_2 SAM6_GTB0_TAC8_CH12
N4_5_1 SAM6_GTB0_TAC8_CH5
N4_5_2 SAM6_GTB0_TAC8_CH13
N4_6_1 SAM6_GTB0_TAC8_CH6
N4_6_2 SAM6_GTB0_TAC8_CH14
N4_7_1 SAM6_GTB0_TAC8_CH7
N4_7_2 SAM6_GTB0_TAC8_CH15
N4_8_1 SAM6_GTB0_TAC8_CH8
N4_8_2 SAM6_GTB0_TAC8_CH16
N4_9_1 SAM6_GTB0_TAC9_CH1
N4_9_2 SAM6_GTB0_TAC9_CH9
N4_10_1 SAM6_GTB0_TAC9_CH2
N4_10_2 SAM6_GTB0_TAC9_CH10
N4_11_1 SAM6_GTB0_TAC9_CH3
N4_11_2 SAM6_GTB0_TAC9_CH11
N4_12_1 SAM6_GTB0_TAC9_CH4
N4_12_2 SAM6_GTB0_TAC9_CH12
N4_13_1 SAM6_GTB0_TAC9_CH5
N4_13_2 SAM6_GTB0_TAC9_CH13
N4_14_1 SAM6_GTB0_TAC9_CH6
N4_14_2 SAM6_GTB0_TAC9_CH14
N4_15_1 SAM6_GTB0_TAC9_CH7
N4_15_2 SAM6_GTB0_TAC9_CH15
N4_16_1 SAM6_GTB0_TAC9_CH8
N4_16_2 SAM6_GTB0_TAC9_CH16
N4_17_1 SAM6_GTB0_TAC10_CH5
N4_17_2 SAM6_GTB0_TAC10_CH13
N4_18_1 SAM6_GTB0_TAC10_CH6
N4_18_2 SAM6_GTB0_TAC10_CH14
N4_19_1 SAM6_GTB0_TAC10_CH7
N4_19_2 SAM6_GTB0_TAC10_CH15
N4_20_1 SAM6_GTB0_TAC10_CH8
N4_20_2 SAM6_GTB0_TAC10_CH16
N5_1_1 SAM6_GTB1_TAC1_CH1
N5_1_2 SAM6_GTB1_TAC1_CH9
N5_2_1 SAM6_GTB1_TAC1_CH2
N5_2_2 SAM6_GTB1_TAC1_CH10
N5_3_1 SAM6_GTB1_TAC1_CH3
N5_3_2 SAM6_GTB1_TAC1_CH11
N5_4_1 SAM6_GTB1_TAC1_CH4
N5_4_2 SAM6_GTB1_TAC1_CH12
N5_5_1 SAM6_GTB1_TAC1_CH5
N5_5_2 SAM6_GTB1_TAC1_CH13
N5_6_1 SAM6_GTB1_TAC1_CH6
N5_6_2 SAM6_GTB1_TAC1_CH14
N5_7_1 SAM6_GTB1_TAC1_CH7
N5_7_2 SAM6_GTB1_TAC1_CH15
N5_8_1 SAM6_GTB1_TAC1_CH8
N5_8_2 SAM6_GTB1_TAC1_CH16
N5_9_1 SAM6_GTB1_TAC2_CH1
N5_9_2 SAM6_GTB1_TAC2_CH9
N5_10_1 SAM6_GTB1_TAC2_CH2
